,track_name,artist_name,album_name,duration_s,release_date,popularity,explicit,track_id,artist_id,genres,Productora,colab,duration,tempo,key,avg_rms,avg_flatness,num_onsets,onset_density
0,GRAN VÍA,"Quevedo, Aitana",BUENAS NOCHES,213.528,2024-11-22,74,False,2kQ1OvmMzs1xdlH020aJJh,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,True,213.53074829931973,161.5,5,0.2981976270675659,0.025699183344841003,819,3.835513182635202
1,SHIBATTO,Quevedo,BUENAS NOCHES,138.226,2024-11-22,67,False,41VnmHAkCUsCStYdDUibpp,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,False,139.83061224489796,99.38,8,0.2760489583015442,0.040777623653411865,517,3.69733058948874
2,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,195.824,2024-06-21,87,False,6WatFBLVB0x077xWeoVc2k,790FomKkXshlbRYZFtlgla,"reggaeton, latin, urbano latino",UNIVERSAL,False,274.7965986394558,129.2,3,0.24546587467193604,0.017669692635536194,1093,3.9774873685174685
3,KASSANDRA,Quevedo,BUENAS NOCHES,183.172,2024-11-22,68,False,6mP16Mr2X3ZU2bNmWBUqzK,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,False,209.13056689342403,117.45,5,0.2552361488342285,0.03569061681628227,498,2.3812874769941597
4,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),130.88,2024-10-16,72,True,4xISUrw0t2elabEhKrtAJ0,7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino",ONE WORLD MUSIC,True,132.7485260770975,198.77,9,0.26994702219963074,0.04084450751543045,530,3.992511372157815
5,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,191.018,2024-11-14,69,True,0OxKf18dUo2G5dFOQYCvBN,1mcTU81TzQhprhouKaTkpq,"reggaeton, urbano latino, trap latino, latin",SONY MUSIC,True,190.4849433106576,103.36,6,0.26197078824043274,0.02657804638147354,760,3.989816658424982
6,IA,"Clarent, Mora",IA,240.0,2024-10-17,74,True,7lcbpfihslisNObKdHjyLo,78F6Xkd46aMHkr4AP60TXY,,BALLER INC.,True,240.47750566893424,112.35,0,0.2619222402572632,0.01462826132774353,683,2.840182486507853
7,MR. MOONDIAL,"Quevedo, Pitbull",BUENAS NOCHES,165.762,2024-11-22,70,False,67LKV40NfSSGIJnm0xz6fi,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,True,170.36485260770976,123.05,1,0.3492657244205475,0.05545905977487564,613,3.5981600113934475
8,Se Pone Las Nike,Cano,Triana,159.375,2024-10-24,70,False,6aO53Wsz32bgMBytw6pIYm,60ZOYUFnCYEeKYsxgvPxOS,"flamenco urbano, flamenco",RABAT MUSIC SL,False,159.37020408163266,129.2,2,0.33007171750068665,0.015687117353081703,444,2.7859661883382802
9,IGUALES,Quevedo,BUENAS NOCHES,183.316,2024-11-22,65,False,1gKnoWS17Nf8ZxEev7d3vd,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,False,178.4453968253968,143.55,1,0.2813870310783386,0.030467532575130463,672,3.7658578587910045
10,Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,206.066,2024-11-15,84,False,1YYfyJ2yCvGFCxwjsIqEK9,1mcTU81TzQhprhouKaTkpq,"reggaeton, urbano latino, trap latino, latin",SONY MUSIC,True,206.1235827664399,103.36,11,0.26858532428741455,0.014422263950109482,719,3.4881986347709857
11,HALO,"Quevedo, La Pantera",HALO,181.261,2024-11-20,64,False,5ufdUMpR5urDWj8LbsomJi,52iwsT98xCoGgiGntTiR7K,reggaeton,DQE PRODUCTIONS,True,185.01700680272108,99.38,4,0.30242565274238586,0.05730000138282776,892,4.821178417133928
