index;track_name;artist_name;second_artist_name;album_name;artist;artist_popularity;followers;second_artist_followers;top genre;genres;Productora;colab;explicit;release_date;popularity;duration_s;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop;duration;tempo;key;avg_rms;avg_flatness;num_onsets;onset_density
0;GRAN VÍA;Quevedo, Aitana;Aitana;BUENAS NOCHES;Quevedo;83;5754626;3247796;reggaetón;reggaeton;DQE PRODUCTIONS;TRUE;FALSE;45618;79;213528;160;83;64;-5;36;72;214;16;6;79;2,14E+16;1615;5;2,98E+15;2,57E+16;819;3,84E+15
1;SHIBATTO;Quevedo;;BUENAS NOCHES;Quevedo;83;5754626;;reggaetón;reggaeton;DQE PRODUCTIONS;FALSE;FALSE;45618;72;138226;100;74;65;-4;28;40;138;16;10;72;1,40E+16;9938;8;2,76E+15;4,08E+16;517;3,70E+14
2;Si Antes Te Hubiera Conocido;KAROL G;;Si Antes Te Hubiera Conocido;KAROL G;88;55739134;;reggaetón;reggaeton, latin, urbano latino;UNIVERSAL;FALSE;FALSE;45464;92;195824;128;67;92;-7;7;79;196;45;5;92;2,75E+15;1292;3;2,45E+16;1,77E+16;1093;3,98E+16
3;KASSANDRA;Quevedo;;BUENAS NOCHES;Quevedo;83;5754626;;reggaetón;reggaeton;DQE PRODUCTIONS;FALSE;FALSE;45618;72;183172;118;63;65;-6;12;45;183;41;7;72;2,09E+16;11745;5;2,55E+15;3,57E+15;498;2,38E+16
4;DEGENERE ?? (feat. benny blanco);Myke Towers, benny blanco;benny blanco;DEGENERE ?? (feat. benny blanco);Myke Towers;88;19368755;1406516;reggaetón;reggaeton, trap latino, urbano latino;ONE WORLD MUSIC;TRUE;TRUE;45581;76;13088;194;71;74;-6;8;71;131;5;28;76;1,33E+15;19877;9;2,70E+16;4,08E+15;530;3,99E+15
5;Qué Pasaría...;Rauw Alejandro, Bad Bunny;Bad Bunny;Qué Pasaría...;Rauw Alejandro;91;27509392;93568573;reggaetón;reggaeton, urbano latino, trap latino, latin;SONY MUSIC;TRUE;TRUE;45610;74;191018;105;78;79;-4;11;33;191;44;13;74;1,90E+15;10336;6;2,62E+16;2,66E+15;760;3,99E+15
6;IA;Clarent, Mora;Mora;IA;Clarent;69;244214;7086795;urbano latino;;BALLER INC.;TRUE;TRUE;45582;77;2400;112;63;71;-6;23;29;171;66;4;77;2,40E+16;11235;0;2,62E+15;1,46E+15;683;2,84E+15
7;MR. MOONDIAL;Quevedo, Pitbull;Pitbull;BUENAS NOCHES;Quevedo;83;5754626;11470108;reggaetón;reggaeton;DQE PRODUCTIONS;TRUE;FALSE;45618;76;165762;124;80;68;-5;19;88;166;7;3;76;1,70E+16;12305;1;3,49E+15;5,55E+15;613;3,60E+16
8;Se Pone Las Nike;Cano;;Triana;Cano;67;564169;;flamenco;flamenco urbano, flamenco;RABAT MUSIC SL;FALSE;FALSE;45589;74;159375;128;72;69;-5;9;65;159;45;4;74;1,59E+16;1292;2;3,30E+16;1,57E+16;444;2,79E+16
9;IGUALES;Quevedo;;BUENAS NOCHES;Quevedo;83;5754626;;reggaetón;reggaeton;DQE PRODUCTIONS;FALSE;FALSE;45618;69;183316;140;59;57;-5;9;49;183;3;4;69;1,78E+15;14355;1;2,81E+15;3,05E+16;672;3,77E+16
10;Khé?;Rauw Alejandro, Romeo Santos;Romeo Santos;Cosa Nuestra;Rauw Alejandro;91;27509392;24933625;reggaetón;reggaeton, urbano latino, trap latino, latin;SONY MUSIC;TRUE;FALSE;45611;89;206066;156;63;69;-5;9;47;206;33;18;88;2,06E+15;10336;11;2,69E+16;1,44E+16;719;3,49E+16
11;HALO;Quevedo, La Pantera;La Pantera;HALO;Quevedo;83;5754626;87221;reggaetón;reggaeton;DQE PRODUCTIONS;TRUE;FALSE;45616;69;181261;100;79;83;-5;10;62;181;28;7;69;1,85E+16;9938;4;3,02E+16;5,73E+15;892;4,82E+15
12;Q U E V A S H A C E R H O Y ?;Omar Courtz, De La Rose;De La Rose;PRIMERA MUSA;Omar Courtz;83;882754;743757;;;MR. 305 RECORDS;TRUE;TRUE;45555;86;224022;155;68;56;-6;11;39;223;10;24;86;2,39E+16;11745;1;3,26E+16;8,37E+15;804;3,37E+16
13;Duro De Verdad pt.2;Los Sufridos, Bad Gyal;Bad Gyal;Duro De Verdad pt.2;Los Sufridos;55;8205;2017734;;;LAX MUSIC, LLC / UNIVERSAL;TRUE;FALSE;45547;72;204303;158;74;74;-6;6;91;204;8;5;72;2,17E+16;1615;11;1,81E+16;2,09E+16;902;4,16E+15
14;Soltera;Shakira;;Soltera;Shakira;88;37340332;;pop latino;latin pop, latin;SONY MUSIC;FALSE;FALSE;45560;84;214642;100;75;84;-5;95;67;215;17;11;84;2,49E+16;1360;9;2,30E+16;3,03E+15;1009;4,05E+15
15;Yo sé;Yan Block, TORRRES;TORRRES;Yo sé;Yan Block;79;576188;43062;;;SONAR LLC;TRUE;TRUE;45435;82;129705;136;46;72;-10;13;63;130;68;13;82;1,27E+16;1360;0;2,04E+16;1,39E+16;300;2,36E+15
16;LOS DÍAS CONTADOS;Quevedo, Rels B;Rels B;BUENAS NOCHES;Quevedo;83;5754626;9273481;reggaetón;reggaeton;DQE PRODUCTIONS;TRUE;FALSE;45618;71;161943;110;53;76;-7;12;27;162;30;5;71;1,63E+16;10767;4;2,25E+16;4,15E+16;493;3,03E+13
17;2AM;Sebastian Yatra, Bad Gyal;Bad Gyal;2AM;Sebastian Yatra;81;23780003;2017734;tropipop;colombian pop, reggaeton, latin;UNIVERSAL;TRUE;FALSE;45618;72;196426;112;75;73;-5;44;72;196;11;9;72;2,39E+14;11235;4;2,05E+16;2,61E+16;789;3,30E+16
18;PERREITO PA LLORAR;Lola Indigo, Paulo Londra;Paulo Londra;PERREITO PA LLORAR;Lola Indigo;70;1502269;25243758;trap latino;;UNIVERSAL;TRUE;FALSE;45624;66;213095;196;77;54;-4;16;32;213;41;19;66;2,10E+15;1292;4;2,75E+15;2,14E+16;693;3,30E+16
19;STAR;JC Reyes;;KM 33;JC Reyes;77;1190886;;;flamenco urbano;JC REYES;FALSE;FALSE;45583;71;1560;113;62;69;-5;45;8;156;36;7;71;1,56E+16;11235;9;2,98E+16;1,16E+14;633;4,06E+15
